r_channel;ir_channel
119707;154660
119725;154611
119710;154587
119684;154568
119705;154529
119714;154494
119701;154453
119706;154500
119717;154485
119708;154495
119667;154529
119692;154532
119717;154529
119704;154517
119719;154517
119725;154490
119730;154485
119729;154511
119737;154512
119737;154532
119701;154573
119738;154573
119741;154570
119734;154605
119758;154590
119765;154565
119766;154592
119784;154604
119774;154576
119774;154598
119736;154629
119767;154622
119769;154624
119747;154645
119770;154638
119782;154583
119795;154610
119778;154639
119826;154616
119792;154652
119778;154674
119815;154683
119793;154700
119799;154720
119808;154722
119821;154688
119812;154721
119842;154734
119846;154702
119830;154740
119792;154740
119848;154755
119846;154774
119832;154783
119851;154775
119847;154751
119843;154773
119861;154789
119891;154777
119873;154803
119841;154806
119859;154813
119878;154837
119872;154855
119865;154864
119893;154835
119878;154858
119901;154862
119928;154827
119877;154833
119837;154814
119865;154778
119867;154736
119824;154722
119815;154646
119815;154596
119831;154608
119821;154602
119831;154564
119823;154589
119806;154586
119835;154593
119823;154603
119817;154644
119808;154578
119829;154557
119826;154583
119862;154592
119839;154574
119837;154585
119820;154624
119852;154635
119851;154646
119853;154674
119842;154668
119872;154648
119874;154684
119885;154689
119915;154660
119882;154663
119837;154689
119878;154707
119882;154718
119861;154725
119877;154705
119921;154690
119898;154726
119916;154738
119925;154729
119907;154715
119898;154759
119909;154762
119910;154787
119886;154791
119920;154809
119938;154778
119920;154769
119945;154837
119934;154819
119941;154865
119915;154861
119946;154849
119984;154838
119952;154854
119940;154896
119938;154876
119973;154894
119960;154902
119972;154902
119973;154887
119960;154915
119941;154948
119940;154951
119973;154902
119990;154946
120011;154962
120010;154945
120007;154973
119976;155019
119986;155007
120019;154955
120007;154979
120029;155029
120033;155021
120020;155040
119986;155014
120000;154998
120021;154928
119990;154865
119945;154885
119955;154834
119947;154805
119926;154805
119935;154756
119970;154723
119936;154745
119913;154740
119909;154735
119939;154747
119935;154744
119956;154743
119934;154742
119937;154753
119903;154765
119899;154728
119942;154683
119940;154710
119951;154737
119938;154762
119943;154785
119944;154806
119937;154788
119983;154780
119939;154772
119948;154825
119939;154774
119941;154819
119935;154815
119966;154810
119962;154773
119981;154803
119927;154813
119928;154838
119967;154829
119972;154823
119959;154835
119986;154818
119976;154835
119952;154891
119942;154853
119989;154846
119974;154844
119990;154875
119970;154876
120003;154908
119966;154922
120000;154898
120005;154885
120012;154863
119991;154919
120005;154937
119982;154942
119992;154952
119989;154929
120030;154909
120004;154922
119985;154957
120010;154955
120014;154965
119998;154945
120047;154982
120048;154932
120017;154984
119993;155000
119994;155005
120027;154991
120025;155018
120040;155003
120039;155025
120024;155036
120017;155070
119997;155021
120043;155038
120028;155040
120055;155081
120026;155049
120040;155093
120009;155094
120071;155083
120061;154996
120032;154988
120016;155000
120016;154982
119973;154918
119967;154924
119965;154841
119996;154823
119958;154764
119950;154821
119952;154769
119958;154800
119934;154760
119971;154774
119971;154719
119984;154780
119914;154755
119939;154775
119940;154719
119937;154750
119939;154718
119985;154753
119936;154713
119942;154806
119923;154764
119980;154770
119963;154752
119952;154829
119957;154786
119973;154851
119934;154810
119969;154829
119989;154766
119965;154777
119941;154787
119973;154824
119959;154792
119958;154822
119970;154798
119997;154791
119961;154773
119960;154857
119933;154811
120001;154865
119950;154806
119981;154871
119996;154823
119987;154874
119943;154849
119963;154881
119971;154821
119993;154881
119984;154831
119993;154903
119985;154880
119975;154936
119962;154885
119992;154863
119983;154843
120003;154938
119987;154905
120001;154927
119962;154912
120015;154924
120005;154874
119997;154892
119987;154910
119997;154970
119989;154929
119999;154971
119978;154932
120033;154942
119989;154916
119989;154998
119968;154957
120012;154968
119989;154956
120031;154994
120003;154954
120034;155022
119974;154990
120002;155033
120016;154960
120021;155012
120015;154997
120030;155022
120007;154984
120000;155053
119992;154958
119996;154938
119948;154858
119969;154880
119946;154796
119941;154801
119897;154747
119934;154720
119938;154669
119924;154676
119861;154681
119895;154679
119898;154684
119912;154655
119901;154666
119928;154623
119886;154634
119880;154664
119856;154633
119908;154601
119884;154629
119912;154622
119887;154640
119905;154627
119865;154658
119906;154660
119887;154642
119927;154641
119885;154664
119935;154692
119903;154668
119898;154661
119893;154657
119921;154619
119905;154633
119891;154660
119900;154666
119896;154666
119864;154651
119905;154635
119910;154629
119928;154676
119862;154703
119884;154680
119906;154662
119918;154673
119909;154698
119919;154682
119905;154711
119903;154720
119881;154702
119924;154688
119895;154686
119913;154709
119903;154730
119909;154726
119880;154732
119904;154716
119946;154696
119909;154713
119896;154731
119909;154737
119890;154740
119912;154736
119894;154750
119920;154728
119911;154734
119894;154757
119896;154764
119918;154723
119916;154760
119931;154779
119951;154749
119932;154792
119894;154802
119910;154790
119934;154761
119939;154758
119921;154809
119928;154803
119919;154815
119914;154832
119932;154815
119958;154777
119939;154806
119925;154823
119949;154819
119950;154836
119910;154818
119939;154816
119953;154755
119914;154738
119869;154727
119867;154690
119881;154637
119849;154612
119846;154572
119873;154531
119832;154525
119805;154536
119818;154517
119843;154484
119826;154499
119843;154490
119836;154476
119820;154485
119791;154487
119778;154484
119814;154426
119813;154425
119811;154470
119810;154448
119797;154479
119778;154500
119807;154473
119817;154475
119812;154487
119822;154508
119812;154494
119806;154514
119796;154501
119811;154477
119845;154459
119798;154460
119805;154495
119789;154480
119795;154485
119806;154495
119802;154478
119816;154459
119817;154476
119779;154501
119794;154514
119830;154509
119821;154517
119841;154529
119832;154502
119815;154538
119791;154562
119786;154539
119839;154504
119827;154519
119817;154541
119832;154553
119822;154555
119802;154572
119811;154554
119839;154537
119824;154516
119833;154589
119844;154589
119828;154582
119827;154606
119850;154597
119871;154554
119840;154582
119839;154598
119827;154611
119847;154612
119832;154636
119847;154617
119866;154577
119847;154606
119821;154625
